public_id,price_amd,price_per_sqm_amd,total_area,living_area,kitchen_area,rooms,bathrooms,ceiling_height,floor,balcony_count,has_loggia,has_parking,has_storage,condition,heating,ownership_docs,lat,lon,building_type,construction_year,total_floors,has_elevator,seismic_retrofit,district_slug
Y21-91A2BCEF,98241000,1169536,84,,,3,1,,3,1,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-1F096E44,36273600,1036389,35,,,1,1,,1,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-5ADA0E7A,40304000,530316,76,,,3,1,,4,2,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-954D7D08,32747000,682229,48,,,2,2,,4,0,,,,EURO_RENOVATION,,,,,MONOLITH,,10,true,,arabkir
Y21-697C7403,36273600,533435,68,,,2,1,,5,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-841DD277,26701400,423832,63,,,2,1,,5,1,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-D079D99E,61967400,704175,88,,,3,1,,4,0,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,arabkir
Y21-65D69005,75570000,572500,132,,,4,2,,7,0,,,,EURO_RENOVATION,,,,,STONE,,7,true,,arabkir
Y21-619DC1A9,51891400,378769,137,,,3,2,,1,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-5ADE6594,43326800,637159,68,,,4,1,,3,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-3F148E8F,43830600,541119,81,,,3,1,,5,0,,,,EURO_RENOVATION,,,,,PANEL,,14,true,,arabkir
Y21-A1CCBBB6,31235600,650742,48,,,1,1,,1,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-DD3ABA7D,60456000,643149,94,,,3,1,,8,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-60CA0003,67005400,736323,91,,,4,2,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,arabkir
Y21-D548BC48,42823000,486625,88,,,3,1,,5,1,,,,GOOD,,,,,PANEL,,14,true,,arabkir
Y21-A71B23A8,62975000,655990,96,,,3,1,,3,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,16,true,,arabkir
Y21-76D6E886,39800200,621878,64,,,3,1,,8,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-49C1CB90,74562400,877205,85,,,3,2,,6,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,arabkir
Y21-9F9B5AB3,63478800,654421,97,,,3,2,,8,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,8,true,,arabkir
Y21-5B50742D,75570000,830440,91,,,3,1,,2,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-CFF00215,30731800,698450,44,,,2,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
Y21-51A1A8B4,50380000,592706,85,,,3,1,,1,0,,,,EURO_RENOVATION,,,,,STONE,,14,true,,arabkir
Y21-4D640BAB,42823000,549013,78,,,3,1,,9,0,,,,EURO_RENOVATION,,,,,PANEL,,14,true,,arabkir
Y21-7F072781,12595000,314875,40,,,2,1,,7,0,,,,GOOD,,,,,STONE,,7,true,,arabkir
Y21-45E6E31B,24686200,561050,44,,,2,2,,1,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-83495F38,38792600,596809,65,,,2,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,arabkir
